tract,age_sex_totals,estimate,moe,geometry
66.01,total_85_older,16,23,"list(list(c(-78.888169, -78.887387, -78.887341, -78.885666, -78.884521, -78.883409, -78.883096, -78.882601, -78.882118, -78.880339, -78.877047, -78.877061, -78.877061, -78.877085, -78.882027, -78.885645, -78.886155, -78.886002, -78.888792, -78.888169, 42.914965, 42.915367, 42.915368, 42.915411, 42.915438, 42.915467, 42.915475, 42.915489, 42.915504, 42.915493, 42.915465, 42.914115, 42.913173, 42.911298, 42.911315, 42.911335, 42.911336, 42.911403, 42.914649, 42.914965)))"
66.01,total_male,NA,NA,"list(list(c(-78.888169, -78.887387, -78.887341, -78.885666, -78.884521, -78.883409, -78.883096, -78.882601, -78.882118, -78.880339, -78.877047, -78.877061, -78.877061, -78.877085, -78.882027, -78.885645, -78.886155, -78.886002, -78.888792, -78.888169, 42.914965, 42.915367, 42.915368, 42.915411, 42.915438, 42.915467, 42.915475, 42.915489, 42.915504, 42.915493, 42.915465, 42.914115, 42.913173, 42.911298, 42.911315, 42.911335, 42.911336, 42.911403, 42.914649, 42.914965)))"
66.01,total_female,1339,383,"list(list(c(-78.888169, -78.887387, -78.887341, -78.885666, -78.884521, -78.883409, -78.883096, -78.882601, -78.882118, -78.880339, -78.877047, -78.877061, -78.877061, -78.877085, -78.882027, -78.885645, -78.886155, -78.886002, -78.888792, -78.888169, 42.914965, 42.915367, 42.915368, 42.915411, 42.915438, 42.915467, 42.915475, 42.915489, 42.915504, 42.915493, 42.915465, 42.914115, 42.913173, 42.911298, 42.911315, 42.911335, 42.911336, 42.911403, 42.914649, 42.914965)))"
58.01,total_under_5,195,94,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_5_9,448,155,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_10_14,250,151,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_15_19,163,101,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_20_24,278,116,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_25_29,233,128,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_30_34,268,123,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_35_39,219,107,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_40_44,273,134,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_45_49,147,73,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_50_54,231,116,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_55_59,179,80,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_60_64,153,72,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_65_69,126,73,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_70_74,143,99,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_75_79,15,17,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_80_84,7,11,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_85_older,92,60,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_male,NA,NA,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
58.01,total_female,1798,321,"list(list(c(-78.908642, -78.906852, -78.905384, -78.898754, -78.896761, -78.892533, -78.89322, -78.894991, -78.897289, -78.89826, -78.901231, -78.90262, -78.903216, -78.904105, -78.905257, -78.907148, -78.90868, -78.908642, 42.959161, 42.960474, 42.96156, 42.966455, 42.96499, 42.961261, 42.958246, 42.959154, 42.960346, 42.959928, 42.958664, 42.95807, 42.957815, 42.95744, 42.956951, 42.956151, 42.959133, 42.959161)))"
50,total_under_5,111,62,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_5_9,127,111,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_10_14,48,42,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_15_19,115,56,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_20_24,128,89,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_25_29,461,166,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_30_34,291,125,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_35_39,170,96,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_40_44,50,27,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_45_49,59,37,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_50_54,99,46,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_55_59,247,81,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_60_64,83,47,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_65_69,117,47,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_70_74,35,34,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_75_79,10,14,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_80_84,0,12,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_85_older,9,12,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_male,NA,NA,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
50,total_female,985,258,"list(list(c(-78.878385, -78.86962, -78.869543, -78.869428, -78.869327, -78.869283, -78.86916, -78.869093, -78.868887, -78.867248, -78.867297, -78.8685, -78.868146, -78.868078, -78.872947, -78.87838, -78.878212, -78.878251, -78.878339, -78.878365, -78.878385, 42.958636, 42.958685, 42.957989, 42.956958, 42.955992, 42.95567, 42.954601, 42.953778, 42.951531, 42.951527, 42.947767, 42.94777, 42.944622, 42.944074, 42.944078, 42.944069, 42.947757, 42.951416, 42.955973, 42.956727, 42.958636)))"
34,total_under_5,168,136,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
34,total_5_9,213,140,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
34,total_10_14,241,141,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
34,total_15_19,212,115,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
34,total_20_24,150,87,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
34,total_25_29,252,164,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
34,total_30_34,184,148,"list(list(c(-78.843522, -78.843486, -78.841079, -78.839373, -78.83411, -78.833623, -78.832657, -78.82913, -78.826539, -78.82441, -78.8244, -78.824412, -78.8264, -78.8265, -78.829089, -78.82942, -78.829136, -78.829001, -78.832399, -78.832403, -78.839068, -78.839076, -78.839082, -78.839093, -78.839139, -78.843116, -78.843474, -78.843498, -78.843507, -78.843522, 42.920478, 42.921935, 42.92188, 42.921857, 42.921756, 42.921791, 42.921872, 42.922155, 42.922377, 42.922571, 42.918876, 42.914474, 42.91448, 
42.914482, 42.914509, 42.914514, 42.913685, 42.912144, 42.91209, 42.912282, 42.912333, 42.913134, 42.913763, 42.91462, 42.914626, 42.914673, 42.914677, 42.916934, 42.919154, 42.920478)))"
