"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error","New York!!Male!!Estimate","New York!!Male!!Margin of Error","New York!!Percent Male!!Estimate","New York!!Percent Male!!Margin of Error","New York!!Female!!Estimate","New York!!Female!!Margin of Error","New York!!Percent Female!!Estimate","New York!!Percent Female!!Margin of Error","Erie County, New York!!Total!!Estimate","Erie County, New York!!Total!!Margin of Error","Erie County, New York!!Percent!!Estimate","Erie County, New York!!Percent!!Margin of Error","Erie County, New York!!Male!!Estimate","Erie County, New York!!Male!!Margin of Error","Erie County, New York!!Percent Male!!Estimate","Erie County, New York!!Percent Male!!Margin of Error","Erie County, New York!!Female!!Estimate","Erie County, New York!!Female!!Margin of Error","Erie County, New York!!Percent Female!!Estimate","Erie County, New York!!Percent Female!!Margin of Error","Buffalo city, New York!!Total!!Estimate","Buffalo city, New York!!Total!!Margin of Error","Buffalo city, New York!!Percent!!Estimate","Buffalo city, New York!!Percent!!Margin of Error","Buffalo city, New York!!Male!!Estimate","Buffalo city, New York!!Male!!Margin of Error","Buffalo city, New York!!Percent Male!!Estimate","Buffalo city, New York!!Percent Male!!Margin of Error","Buffalo city, New York!!Female!!Estimate","Buffalo city, New York!!Female!!Margin of Error","Buffalo city, New York!!Percent Female!!Estimate","Buffalo city, New York!!Percent Female!!Margin of Error"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","41,113,916","±36,636","12.5%","±0.1","21,020,831","±26,657","13.0%","±0.1","20,093,085","±23,965","12.1%","±0.1","2,216,386","±3,341","11.4%","±0.1","1,136,973","±2,402","12.0%","±0.1","1,079,413","±2,699","10.8%","±0.1","102,360","±84","11.1%","±0.1","52,036","*****","11.7%","±0.1","50,324","±84","10.6%","±0.1","33,238","±2,265","13.0%","±0.9","17,021","±1,608","14.0%","±1.3","16,217","±1,459","12.1%","±1.0"
"        15 to 17 years","12,449,034","±17,681","3.8%","±0.1","6,361,859","±15,524","3.9%","±0.1","6,087,175","±18,014","3.7%","±0.1","685,885","±2,929","3.5%","±0.1","351,883","±2,572","3.7%","±0.1","334,002","±2,164","3.3%","±0.1","32,812","±84","3.6%","±0.1","16,513","±56","3.7%","±0.1","16,299","±93","3.4%","±0.1","10,289","±1,251","4.0%","±0.5","5,133","±768","4.2%","±0.6","5,156","±948","3.9%","±0.7"
"        Under 18 years","72,967,785","±33,143","22.2%","±0.1","37,321,627","±29,379","23.1%","±0.1","35,646,158","±31,293","21.4%","±0.1","4,022,096","±2,891","20.7%","±0.1","2,062,240","±3,911","21.8%","±0.1","1,959,856","±3,504","19.6%","±0.1","185,273","*****","20.2%","*****","94,088","±106","21.2%","±0.1","91,185","±106","19.2%","±0.1","59,485","±2,784","23.3%","±1.1","30,209","±1,957","24.8%","±1.6","29,276","±1,988","21.9%","±1.3"
"        18 to 24 years","30,373,170","±42,282","9.3%","±0.1","15,556,254","±26,205","9.6%","±0.1","14,816,916","±25,476","8.9%","±0.1","1,766,731","±5,328","9.1%","±0.1","887,762","±3,242","9.4%","±0.1","878,969","±3,438","8.8%","±0.1","83,447","±284","9.1%","±0.1","41,955","±175","9.4%","±0.1","41,492","±194","8.7%","±0.1","31,383","±2,360","12.3%","±0.9","15,360","±1,538","12.6%","±1.2","16,023","±1,642","12.0%","±1.2"
"        15 to 44 years","130,315,524","±37,167","39.7%","±0.1","65,938,127","±31,255","40.8%","±0.1","64,377,397","±34,232","38.6%","±0.1","7,748,123","±5,748","39.8%","±0.1","3,872,881","±4,756","41.0%","±0.1","3,875,242","±4,082","38.7%","±0.1","353,610","±506","38.5%","±0.1","177,108","±434","39.9%","±0.1","176,502","±227","37.2%","±0.1","118,669","±3,270","46.5%","±1.3","57,225","±2,594","47.1%","±1.9","61,444","±2,526","46.0%","±1.4"
"        16 years and over","263,534,161","±52,161","80.3%","±0.1","128,496,159","±42,201","79.5%","±0.1","135,038,002","±37,248","81.0%","±0.1","15,895,561","±6,654","81.7%","±0.1","7,625,130","±5,855","80.7%","±0.1","8,270,431","±5,300","82.7%","±0.1","754,543","±1,422","82.1%","±0.2","361,067","±1,084","81.2%","±0.2","393,476","±1,098","83.0%","±0.2","202,599","±2,755","79.4%","±1.1","94,357","±3,036","77.6%","±1.6","108,242","±2,677","81.0%","±1.3"
"        18 years and over","255,271,738","±33,143","77.8%","±0.1","124,267,346","±30,268","76.9%","±0.1","131,004,392","±22,770","78.6%","±0.1","15,431,465","±2,891","79.3%","±0.1","7,388,570","±3,644","78.2%","±0.1","8,042,895","±2,798","80.4%","±0.1","733,429","*****","79.8%","*****","350,347","*****","78.8%","±0.1","383,082","*****","80.8%","±0.1","195,815","±2,785","76.7%","±1.1","91,399","±2,921","75.2%","±1.6","104,416","±2,538","78.1%","±1.3"
"        21 years and over","241,886,206","±83,337","73.7%","±0.1","117,407,269","±52,190","72.7%","±0.1","124,478,937","±51,300","74.7%","±0.1","14,674,437","±9,475","75.4%","±0.1","7,001,388","±7,330","74.1%","±0.1","7,673,049","±7,145","76.7%","±0.1","698,321","±1,714","76.0%","±0.2","332,423","±1,033","74.8%","±0.2","365,898","±1,288","77.2%","±0.3","183,700","±2,659","72.0%","±1.0","85,494","±2,848","70.3%","±1.6","98,206","±2,401","73.5%","±1.3"
"        60 years and over","75,058,081","±67,159","22.9%","±0.1","34,095,451","±41,662","21.1%","±0.1","40,962,630","±43,999","24.6%","±0.1","4,577,889","±15,073","23.5%","±0.1","2,033,229","±10,256","21.5%","±0.1","2,544,660","±10,647","25.4%","±0.1","235,611","±3,499","25.6%","±0.4","104,560","±2,026","23.5%","±0.5","131,051","±2,238","27.6%","±0.5","45,912","±2,576","18.0%","±1.0","19,877","±1,701","16.3%","±1.3","26,035","±1,741","19.5%","±1.3"
